Time,Pulse,Heart Rate,Response Pad,Correct Response,
27.85,5.52482,0,8,0,
27.9,5.52549,0,8,0,
27.95,5.52636,0,0,0,Diff-Red-Green.png
28,5.52727,0,0,0,
28.05,5.52819,0,0,0,
28.1,5.52937,0,0,0,
28.15,5.53033,0,0,0,
28.2,5.53155,0,0,0,
28.25,5.53246,0,0,0,
28.3,5.53307,0,0,0,
28.35,5.53405,0,0,0,
28.4,5.5351,0,0,0,
28.45,5.53643,0,8,480,
28.5,5.53765,0,8,480,
28.55,5.53908,0,8,0,
28.6,5.5404,0,8,0,
28.65,5.54187,0,0,0,
28.7,5.54314,0,0,0,Diff-Blue-Black.png
28.75,5.54479,0,0,0,
28.8,5.5465,0,0,0,
28.85,5.54807,0,0,0,
28.9,5.54986,0,0,0,
28.95,5.55139,0,0,0,
29,5.55291,0,0,0,
29.05,5.55444,0,0,0,
29.1,5.55596,0,0,0,
29.15,5.55736,0,0,0,
29.2,5.55866,0,0,0,
29.25,5.55993,0,0,0,
29.3,5.56146,0,0,0,
29.35,5.56273,0,0,0,
29.4,5.56409,0,8,635,
29.45,5.56539,0,8,635,
29.5,5.56664,0,0,0,
29.55,5.56786,0,0,0,Diff-Black-Yellow.png
29.6,5.56914,0,0,0,
29.65,5.57051,0,0,0,
29.7,5.57153,0,0,0,
29.75,5.57257,0,0,0,
29.8,5.57356,0,0,0,
29.85,5.57432,0,0,0,
29.9,5.57519,0,0,0,
29.95,5.57601,0,0,0,
30,5.5768,0,0,0,
30.05,5.57763,0,8,465,
30.1,5.5782,0,8,465,
30.15,5.57859,0,8,0,
30.2,5.57916,0,8,0,
30.25,5.57966,0,0,0,
30.3,5.58002,0,0,0,Same-Green-Green.png
30.35,5.58032,0,0,0,
30.4,5.58058,0,0,0,
30.45,5.58097,0,0,0,
30.5,5.58131,0,0,0,
30.55,5.58167,0,0,0,
30.6,5.58193,0,0,0,
30.65,5.58241,0,0,0,
30.7,5.58282,0,0,0,
30.75,5.58333,0,0,0,
30.8,5.58363,0,0,0,
30.85,5.58399,0,0,0,
30.9,5.58434,0,0,0,
30.95,5.58471,0,1,615,
31,5.58546,0,1,615,
31.05,5.5859,0,1,0,
31.1,5.58678,0,0,0,Same-Black-Black.png
31.15,5.5874,0,0,0,
31.2,5.58831,0,0,0,
31.25,5.58917,0,0,0,
31.3,5.59014,0,0,0,
31.35,5.591,0,0,0,
31.4,5.59167,0,0,0,
31.45,5.5925,0,0,0,
31.5,5.59319,0,0,0,
31.55,5.59409,0,0,0,
31.6,5.5947,0,0,0,
31.65,5.59533,0,8,0,
31.7,5.59625,0,8,0,
31.75,5.59711,0,8,0,
31.8,5.59808,0,0,0,
31.85,5.59919,0,0,0,Diff-Yellow-Blue.png
31.9,5.60021,0,0,0,
31.95,5.60137,0,0,0,
32,5.60241,0,0,0,
32.05,5.60368,0,0,0,
32.1,5.60479,0,0,0,
32.15,5.60607,0,0,0,
32.2,5.60754,0,0,0,
32.25,5.60907,0,0,0,
32.3,5.61029,0,0,0,
32.35,5.61181,0,0,0,
32.4,5.61324,0,0,0,
32.45,5.61425,0,0,0,
32.5,5.6156,0,0,0,
32.55,5.61697,0,0,0,
32.6,5.61828,0,8,700,
32.65,5.61955,0,8,700,
32.7,5.62061,0,8,0,Diff-Red-Black.png
32.75,5.62152,0,0,0,
32.8,5.62249,0,0,0,
32.85,5.62361,0,0,0,
32.9,5.62432,0,0,0,
32.95,5.62524,0,0,0,
33,5.62602,0,0,0,
33.05,5.62676,0,0,0,
33.1,5.62766,0,0,0,
33.15,5.62829,0,0,0,
33.2,5.6289,0,0,0,
33.25,5.62964,0,0,0,
33.3,5.6304,0,0,0,
33.35,5.63104,0,8,595,
33.4,5.63194,0,8,595,
33.45,5.63287,0,8,0,Diff-Green-Red.png
33.5,5.63405,0,8,0,
33.55,5.635,0,0,0,
33.6,5.63623,0,0,0,
33.65,5.63756,0,0,0,
33.7,5.63897,0,0,0,
33.75,5.64038,0,0,0,
33.8,5.64169,0,0,0,
33.85,5.64294,0,0,0,
33.9,5.64427,0,0,0,
33.95,5.64565,0,0,0,
34,5.64696,0,0,0,
34.05,5.64843,0,0,0,
34.1,5.64996,0,0,0,
34.15,5.65118,0,0,0,
34.2,5.6524,0,0,0,
34.25,5.65362,0,0,0,
34.3,5.65484,0,0,0,Same-Yellow-Yellow.png
34.35,5.65637,0,8,0,
34.4,5.6579,0,8,0,
34.45,5.65972,0,8,0,
34.5,5.66125,0,0,0,
34.55,5.66287,0,0,0,
34.6,5.6644,0,0,0,
34.65,5.66583,0,0,0,
34.7,5.66705,0,0,0,
34.75,5.66827,0,0,0,
34.8,5.66949,0,0,0,
34.85,5.67087,0,0,0,
34.9,5.67229,0,0,0,
34.95,5.67366,0,0,0,
35,5.67498,0,0,0,Diff-Red-Yellow.png
35.05,5.67621,0,0,0,
35.1,5.6777,0,0,0,
35.15,5.67895,0,0,0,
35.2,5.68017,0,1,0,
35.25,5.68139,0,1,0,
35.3,5.68258,0,1,0,
35.35,5.68384,0,1,0,
35.4,5.68504,0,0,0,
35.45,5.68628,0,0,0,
35.5,5.6878,0,0,0,
35.55,5.68933,0,0,0,
35.6,5.69055,0,0,0,
35.65,5.69201,0,0,0,
35.7,5.69329,0,0,0,
35.75,5.69498,0,0,0,
35.8,5.69635,0,0,0,
35.85,5.69787,0,0,0,Diff-Black-Red.png
35.9,5.69928,0,8,0,
35.95,5.70052,0,8,0,
36,5.70212,0,8,0,
36.05,5.70352,0,0,0,
36.1,5.70489,0,0,0,
36.15,5.70604,0,0,0,
36.2,5.70728,0,0,0,
36.25,5.70855,0,0,0,
36.3,5.70977,0,0,0,
36.35,5.71105,0,0,0,
36.4,5.71222,0,0,0,
36.45,5.71344,0,0,0,
36.5,5.7145,0,0,0,
36.55,5.71557,0,0,0,
36.6,5.71649,0,0,0,Diff-Green-Yellow.png
36.65,5.7174,0,0,0,
36.7,5.71832,0,8,50,
36.75,5.71954,0,8,50,
36.8,5.72066,0,8,0,
36.85,5.72168,0,8,0,
36.9,5.72284,0,0,0,
36.95,5.72381,0,0,0,
37,5.72473,0,0,0,
37.05,5.72564,0,0,0,
37.1,5.7267,0,0,0,
37.15,5.72778,0,0,0,
37.2,5.729,0,0,0,
37.25,5.7302,0,0,0,
37.3,5.73124,0,0,0,
37.35,5.73236,0,0,0,Diff-Blue-Green.png
37.4,5.73351,0,0,0,
37.45,5.73448,0,1,0,
37.5,5.73541,0,1,0,
37.55,5.73632,0,0,0,
37.6,5.73724,0,0,0,
37.65,5.73832,0,0,0,
37.7,5.73938,0,0,0,
37.75,5.74046,0,0,0,
37.8,5.74151,0,0,0,
37.85,5.7427,0,0,0,
37.9,5.74389,0,0,0,
37.95,5.74487,0,0,0,
38,5.74606,0,0,0,
38.05,5.74716,0,0,0,
38.1,5.74822,0,0,0,
38.15,5.74914,0,0,0,
38.2,5.75026,0,0,0,Diff-Blue-Yellow.png
38.25,5.75155,0,0,0,
38.3,5.75274,0,0,0,
38.35,5.75377,0,0,0,
38.4,5.75464,0,0,0,
38.45,5.75555,0,8,215,
38.5,5.75647,0,8,215,
38.55,5.75738,0,8,0,
38.6,5.75836,0,0,0,
38.65,5.75921,0,0,0,
38.7,5.76013,0,0,0,
38.75,5.76134,0,0,0,
38.8,5.76242,0,0,0,
38.85,5.76353,0,0,0,
38.9,5.76494,0,0,0,
38.95,5.76621,0,8,0,Diff-Yellow-Black.png
39,5.76745,0,8,0,
39.05,5.76878,0,8,0,
39.1,5.7702,0,8,0,
39.15,5.77173,0,0,0,
39.2,5.77325,0,0,0,
39.25,5.77473,0,0,0,
